PATIENT_ID,PSMC1,BRCA1,MCM2,BRCA2
TCGA.3C.AAAU.01,0.0535756,0.90068729,0.04495791,0.93908664
TCGA.3C.AALI.01,0.04160932,0.88262583,0.08512571,0.93429147
TCGA.3C.AALJ.01,0.03989198,0.85268418,0.15352699,0.94853074
TCGA.3C.AALK.01,0.03599436,0.85382056,0.24141458,0.92873924
TCGA.4H.AAAK.01,0.04148596,0.88735764,0.1547256,0.93546578
TCGA.5L.AAT0.01,0.03792542,0.86849501,0.09933042,0.86167434
TCGA.5T.A9QA.01,0.03632351,0.90918907,0.33630942,0.94699816
TCGA.A1.A0SB.01,0.02509139,0.91203648,0.07952582,0.12790371
TCGA.A1.A0SD.01,0.02271118,0.92658381,0.07480995,0.84770687
TCGA.A1.A0SE.01,0.0311445,0.92985266,0.09892616,0.92123716
TCGA.A1.A0SF.01,0.02272837,0.93570771,0.05348396,0.8711021
TCGA.A1.A0SG.01,0.03415505,0.93891376,0.08647489,0.85597789
TCGA.A1.A0SH.01,0.02983359,0.93990686,0.22568748,0.90318162
TCGA.A1.A0SI.01,0.03031437,0.91654579,0.04621669,0.88396509
TCGA.A1.A0SJ.01,0.02943407,0.90287087,0.03900491,0.9241252
TCGA.A1.A0SK.01,0.03344995,0.92155689,0.50781005,0.94116773
TCGA.A1.A0SM.01,0.03346098,0.92173404,0.04191316,0.89392573
TCGA.A1.A0SN.01,0.02264968,0.92707615,0.04030901,0.89214461
TCGA.A1.A0SO.01,0.04995066,0.92393046,0.05934353,0.81947564
TCGA.A1.A0SP.01,0.03115035,0.90248854,0.14768451,0.47993607
TCGA.A1.A0SQ.01,0.02799378,0.93705746,0.0295753,0.95384601
TCGA.A2.A04N.01,0.02032047,0.89957582,0.03888766,0.80454934
TCGA.A2.A04P.01,0.01661674,0.85866208,0.0459047,0.55168765
TCGA.A2.A04Q.01,0.02210412,0.94468078,0.04866572,0.71758677
TCGA.A2.A04R.01,0.04252212,0.91128267,0.34106069,0.95246896
TCGA.A2.A04T.01,0.0295279,0.89638081,0.05084061,0.76085963
TCGA.A2.A04U.01,0.01595581,0.94030651,0.40231094,0.18418242
TCGA.A2.A04V.01,0.0288066,0.94568864,0.13451417,0.94213763
TCGA.A2.A04W.01,0.03078573,0.86242637,0.12931024,0.74801865
TCGA.A2.A04X.01,0.02241904,0.9400867,0.04929033,0.80968006
TCGA.A2.A04Y.01,0.02286746,0.94490414,0.06344551,0.84278151
TCGA.A2.A0CK.01,0.02854479,0.93004632,0.21226502,0.92172116
TCGA.A2.A0CL.01,0.02069152,0.92616471,0.03754696,0.74361575
TCGA.A2.A0CM.01,0.01956446,0.93738174,0.08723603,0.82228216
TCGA.A2.A0CO.01,0.03714577,0.92298604,0.04960512,0.88352911
TCGA.A2.A0CP.01,0.02065458,0.9418374,0.10318816,0.87970473
TCGA.A2.A0CQ.01,0.02365782,0.9163772,0.05387653,0.88712048
TCGA.A2.A0CR.01,0.02633701,0.92221256,0.04614607,0.85702778
TCGA.A2.A0CS.01,0.02279073,0.90801317,0.06338164,0.79052193
TCGA.A2.A0CT.01,0.03164828,0.93053707,0.04414035,0.96237493
TCGA.A2.A0CU.01,0.03205169,0.95799629,0.0665426,0.9097049
TCGA.A2.A0CV.01,0.02340319,0.92030101,0.05763682,0.88442789
TCGA.A2.A0CW.01,0.03043055,0.88763902,0.03887286,0.83191859
TCGA.A2.A0CX.01,0.02526104,0.91433818,0.17113429,0.83835687
TCGA.A2.A0CZ.01,0.02019698,0.94735767,0.09726955,0.86073306
TCGA.A2.A0D0.01,0.02240272,0.89720818,0.04368327,0.45957377
TCGA.A2.A0D1.01,0.02136088,0.90467534,0.13012708,0.9247869
TCGA.A2.A0D2.01,0.02708816,0.94756996,0.04260304,0.48855261
TCGA.A2.A0D3.01,0.02886668,0.90579912,0.04386546,0.92572422
TCGA.A2.A0D4.01,0.02942762,0.94023504,0.1379724,0.9009031
TCGA.A2.A0EM.01,0.02212121,0.94020503,0.07891867,0.91129941
TCGA.A2.A0EN.01,0.02660475,0.91511676,0.03192062,0.87370636
TCGA.A2.A0EO.01,0.0287504,0.94171185,0.08118889,0.91130765
TCGA.A2.A0EP.01,0.03010726,0.91552719,0.04392063,0.85758
TCGA.A2.A0EQ.01,0.0184385,0.94255769,0.10412527,0.82496519
TCGA.A2.A0ER.01,0.02649179,0.94563257,0.33026327,0.93656822
TCGA.A2.A0ES.01,0.01858144,0.92450876,0.19367216,0.93236845
TCGA.A2.A0ET.01,0.02227362,0.96048738,0.10747793,0.93206547
TCGA.A2.A0EU.01,0.04881467,0.94623111,0.0261547,0.95850226
TCGA.A2.A0EV.01,0.02754019,0.94749662,0.04903014,0.86638125
TCGA.A2.A0EW.01,0.02139617,0.91245231,0.28072809,0.91667448
TCGA.A2.A0EX.01,0.02926496,0.94488147,0.15194833,0.89924308
TCGA.A2.A0EY.01,0.02442313,0.93072135,0.05620334,0.89161838
TCGA.A2.A0ST.01,0.02685956,0.92036314,0.02495038,0.8233867
TCGA.A2.A0SU.01,0.02790692,0.92361033,0.04423563,0.94850831
TCGA.A2.A0SV.01,0.02507106,0.92244912,0.02440459,0.89046464
TCGA.A2.A0SW.01,0.03028108,0.89758394,0.04039693,0.89021571
TCGA.A2.A0SX.01,0.03200053,0.93505758,0.02620753,0.68463725
TCGA.A2.A0SY.01,0.03262037,0.89966988,0.11776466,0.93411846
TCGA.A2.A0T0.01,0.03633551,0.91207973,0.02991849,0.89864977
TCGA.A2.A0T1.01,0.03766216,0.8673307,0.02871534,0.8818551
TCGA.A2.A0T2.01,0.03481668,0.89931454,0.04240718,0.35360067
TCGA.A2.A0T3.01,0.03281114,0.89538847,0.06440401,0.92643868
TCGA.A2.A0T4.01,0.03172121,0.88793576,0.03412784,0.91351822
TCGA.A2.A0T5.01,0.02707715,0.90726266,0.05008006,0.93046624
TCGA.A2.A0T6.01,0.03080033,0.92386055,0.04647196,0.88517163
TCGA.A2.A0T7.01,0.04006439,0.90713331,0.0828571,0.90346488
TCGA.A2.A0YC.01,0.03893552,0.91927832,0.4174573,0.92519276
TCGA.A2.A0YD.01,0.03613764,0.91474764,0.04788403,0.92057797
TCGA.A2.A0YE.01,0.03946154,0.8960238,0.02065764,0.38743325
TCGA.A2.A0YF.01,0.04110919,0.91249811,0.03598828,0.93488118
TCGA.A2.A0YG.01,0.03023453,0.89559868,0.03001448,0.93228397
TCGA.A2.A0YH.01,0.03028862,0.91233944,0.03774485,0.8779295
TCGA.A2.A0YI.01,0.03706822,0.91908614,0.04032267,0.86000689
TCGA.A2.A0YJ.01,0.03053057,0.8872254,0.024152,0.30984358
TCGA.A2.A0YK.01,0.03251002,0.8768779,0.03773127,0.89942251
TCGA.A2.A0YL.01,0.03254874,0.90049738,0.08390494,0.89322239
TCGA.A2.A0YM.01,0.03597291,0.89470648,0.03538286,0.63669273
TCGA.A2.A0YT.01,0.04048196,0.90770995,0.03868484,0.94197351
TCGA.A2.A1FV.01,0.03444719,0.92359651,0.51658533,0.95066363
TCGA.A2.A1FW.01,0.02916197,0.84970624,0.23976621,0.88882667
TCGA.A2.A1FX.01,0.03030225,0.91673021,0.03016396,0.91083561
TCGA.A2.A1FZ.01,0.03323409,0.92198974,0.12127518,0.88298171
TCGA.A2.A1G0.01,0.02979079,0.93011795,0.05751439,0.88675132
TCGA.A2.A1G1.01,0.02487418,0.89088042,0.05133823,0.50099047
TCGA.A2.A1G4.01,0.03832519,0.86549097,0.20627624,0.93722673
TCGA.A2.A1G6.01,0.03094899,0.92962913,0.12013562,0.86890921
TCGA.A2.A259.01,0.0318174,0.91797954,0.06059144,0.93223532
TCGA.A2.A25A.01,0.03259654,0.91492292,0.12224789,0.9105292
TCGA.A2.A25B.01,0.03076922,0.87744707,0.2300087,0.92873181
TCGA.A2.A25C.01,0.03540304,0.95279249,0.04300368,0.9023862
TCGA.A2.A25D.01,0.0285871,0.94164097,0.09057852,0.91383116
TCGA.A2.A25E.01,0.0292565,0.94604727,0.07853359,0.93044032
TCGA.A2.A25F.01,0.02545609,0.92540686,0.02888575,0.77355309
TCGA.A2.A3KC.01,0.04286854,0.91074498,0.0767771,0.84331749
TCGA.A2.A3KD.01,0.02413552,0.90155473,0.04635507,0.91094662
TCGA.A2.A3XS.01,0.02874922,0.93567907,0.06173946,0.93048468
TCGA.A2.A3XT.01,0.0328993,0.90807568,0.0500659,0.87267101
TCGA.A2.A3XU.01,0.03836575,0.92997929,0.03770176,0.68826161
TCGA.A2.A3XV.01,0.02248525,0.91394151,0.09570776,0.90591478
TCGA.A2.A3XW.01,0.03247198,0.92010388,0.09003684,0.90240224
TCGA.A2.A3XX.01,0.02632599,0.91228076,0.0379612,0.52135423
TCGA.A2.A3XY.01,0.02709795,0.90698127,0.04041535,0.59275998
TCGA.A2.A3XZ.01,0.02898942,0.92244542,0.05165075,0.7821218
TCGA.A2.A3Y0.01,0.0292727,0.92008777,0.03981371,0.62196842
TCGA.A2.A4RW.01,0.03630835,0.92444585,0.1262526,0.9272156
TCGA.A2.A4RX.01,0.03265393,0.90639818,0.06822672,0.89352672
TCGA.A2.A4RY.01,0.03314927,0.90443901,0.28375701,0.87984753
TCGA.A2.A4S0.01,0.03067073,0.91466583,0.04100038,0.93397148
TCGA.A2.A4S1.01,0.04193108,0.90585693,0.04892242,0.64868705
TCGA.A2.A4S2.01,0.04013546,0.88900894,0.06852521,0.8856866
TCGA.A2.A4S3.01,0.03975266,0.92661395,0.06218653,0.91512934
TCGA.A7.A0CD.01,0.0297765,0.94013948,0.04436855,0.92129293
TCGA.A7.A0CE.01,0.02583481,0.93399608,0.11031324,0.67235428
TCGA.A7.A0CG.01,0.02343279,0.91834932,0.10343956,0.80744623
TCGA.A7.A0CH.01,0.02251038,0.92068478,0.05209048,0.91102815
TCGA.A7.A0CJ.01,0.0244068,0.90625021,0.07341864,0.90936567
TCGA.A7.A0D9.01,0.03195597,0.93140364,0.08525383,0.94577863
TCGA.A7.A0DA.01,0.03429981,0.89630905,0.04698387,0.898426
TCGA.A7.A0DB.01,0.02542756,0.92392443,0.05738449,0.88111106
TCGA.A7.A0DC.01,0.02752558,0.94734939,0.0610165,0.94976274
TCGA.A7.A13D.01,0.03576599,0.89687318,0.02964702,0.53364998
TCGA.A7.A13E.01,0.02519795,0.93035855,0.02831496,0.91913596
TCGA.A7.A13F.01,0.03015557,0.9382436,0.03436308,0.93279471
TCGA.A7.A13G.01,0.03378407,0.92590289,0.03284272,0.91566439
TCGA.A7.A13H.01,0.03069724,0.92848395,0.15738366,0.87394039
TCGA.A7.A26E.01,0.0284055,0.91552068,0.18474585,0.8697347
TCGA.A7.A26F.01,0.02986444,0.93038583,0.04867571,0.84081014
TCGA.A7.A26G.01,0.03627848,0.93859782,0.03815709,0.82103989
TCGA.A7.A26H.01,0.02416139,0.9373764,0.04385005,0.92674387
TCGA.A7.A26I.01,0.0337857,0.91834833,0.03643613,0.48013731
TCGA.A7.A26J.01,0.0317529,0.91864171,0.07237616,0.90952954
TCGA.A7.A2KD.01,0.03374908,0.94341182,0.03999529,0.89490367
TCGA.A7.A3IY.01,0.0509209,0.92511523,0.05145653,0.80160583
TCGA.A7.A3IZ.01,0.03392915,0.92579209,0.06280221,0.93187163
TCGA.A7.A3J0.01,0.03734812,0.92107687,0.03237646,0.88845087
TCGA.A7.A3J1.01,0.03289661,0.91798493,0.04388782,0.90002451
TCGA.A7.A3RF.01,0.02946438,0.93987885,0.02715808,0.93123166
TCGA.A7.A425.01,0.02414798,0.92660367,0.04389625,0.87509949
TCGA.A7.A426.01,0.02663555,0.93247145,0.10269025,0.92281154
TCGA.A7.A4SA.01,0.04140697,0.88702535,0.05414511,0.90463809
TCGA.A7.A4SB.01,0.04686201,0.92651254,0.09312034,0.93865074
TCGA.A7.A4SC.01,0.0347002,0.92120321,0.0671411,0.87777187
TCGA.A7.A4SD.01,0.03652434,0.9290158,0.04409914,0.66160496
TCGA.A7.A4SE.01,0.04018523,0.88868951,0.08993543,0.52653539
TCGA.A7.A4SF.01,0.03113588,0.91158837,0.04007539,0.94382068
TCGA.A7.A5ZV.01,0.03064684,0.91653915,0.0448539,0.82359851
TCGA.A7.A5ZW.01,0.02939539,0.92071923,0.10767646,0.90188774
TCGA.A7.A5ZX.01,0.02866479,0.87333531,0.13458485,0.92437453
TCGA.A7.A6VV.01,0.02431904,0.91224388,0.04380353,0.68907743
TCGA.A7.A6VW.01,0.03303205,0.88694319,0.11028956,0.87137288
TCGA.A7.A6VX.01,0.02731996,0.86907254,0.0688248,0.90637937
TCGA.A7.A6VY.01,0.02596475,0.8875134,0.03494491,0.59462322
TCGA.A8.A06N.01,0.02418138,0.94986952,0.07285726,0.94587001
TCGA.A8.A06O.01,0.03208953,0.9517276,0.02954309,0.88323876
TCGA.A8.A06P.01,0.02674769,0.92550481,0.05990758,0.87626201
TCGA.A8.A06Q.01,0.02610467,0.91087721,0.04127641,0.92572654
TCGA.A8.A06R.01,0.03292719,0.91641194,0.02877243,0.91640255
TCGA.A8.A06T.01,0.03377994,0.93101316,0.06058183,0.93465262
TCGA.A8.A06U.01,0.023867,0.93434679,0.04840789,0.92647449
TCGA.A8.A06X.01,0.02963775,0.88449963,0.02266014,0.84461985
TCGA.A8.A06Y.01,0.02048288,0.93171488,0.07403274,0.91439387
TCGA.A8.A06Z.01,0.03149653,0.96104256,0.06183198,0.90238206
TCGA.A8.A075.01,0.02903605,0.88090569,0.02490685,0.88728622
TCGA.A8.A076.01,0.02558764,0.88936062,0.0649934,0.88038868
TCGA.A8.A079.01,0.02515592,0.92871602,0.04280906,0.9008071
TCGA.A8.A07B.01,0.02411328,0.89986742,0.05414467,0.92634597
TCGA.A8.A07C.01,0.02595467,0.93396906,0.04963828,0.24234644
TCGA.A8.A07E.01,0.0208752,0.93118372,0.09871612,0.90540371
TCGA.A8.A07F.01,0.02851078,0.91713491,0.03649667,0.87780552
TCGA.A8.A07G.01,0.02691765,0.94638425,0.06730226,0.85532324
TCGA.A8.A07I.01,0.02452503,0.90337,0.09081814,0.89608322
TCGA.A8.A07J.01,0.02137013,0.94311916,0.21186906,0.81480202
TCGA.A8.A07L.01,0.0221646,0.91316191,0.12206516,0.9181509
TCGA.A8.A07O.01,0.03006274,0.88452477,0.02779367,0.66114883
TCGA.A8.A07P.01,0.02829877,0.92736421,0.37403169,0.85456779
TCGA.A8.A07R.01,0.0187316,0.95989756,0.05692482,0.23110265
TCGA.A8.A07S.01,0.02649966,0.93965583,0.05093293,0.90467852
TCGA.A8.A07U.01,0.02532223,0.93957238,0.03709679,0.77070874
TCGA.A8.A07W.01,0.02986442,0.93574554,0.10993175,0.88898002
TCGA.A8.A07Z.01,0.02607358,0.91819478,0.03171137,0.89003398
TCGA.A8.A081.01,0.02768818,0.9413448,0.16805966,0.91078436
TCGA.A8.A082.01,0.0215337,0.89502666,0.69811905,0.87839643
TCGA.A8.A083.01,0.02315276,0.93312806,0.06149315,0.87094448
TCGA.A8.A085.01,0.02853549,0.94690188,0.0308689,0.9050896
TCGA.A8.A086.01,0.03416639,0.93187307,0.03084584,0.80955709
TCGA.A8.A08A.01,0.02348859,0.93642719,0.05260013,0.86794458
TCGA.A8.A08B.01,0.02341844,0.92003625,0.03331867,0.83733215
TCGA.A8.A08C.01,0.03210534,0.93451128,0.05665566,0.9198875
TCGA.A8.A08G.01,0.02138577,0.94188632,0.04105689,0.89864056
TCGA.A8.A08H.01,0.02184008,0.91276867,0.04475802,0.53433467
TCGA.A8.A08I.01,0.02625139,0.93159384,0.06294674,0.85889695
TCGA.A8.A08J.01,0.02609169,0.91647961,0.10178884,0.87334573
TCGA.A8.A08L.01,0.03595123,0.90599771,0.21748569,0.86725332
TCGA.A8.A08O.01,0.033778,0.93072108,0.08126959,0.89058225
TCGA.A8.A08P.01,0.02506876,0.93976355,0.06270618,0.82027979
TCGA.A8.A08R.01,0.02519434,0.94331079,0.05821517,0.47283342
TCGA.A8.A08T.01,0.02258502,0.92211881,0.03612494,0.93771563
TCGA.A8.A08X.01,0.02305438,0.92106988,0.06338223,0.84751293
TCGA.A8.A08Z.01,0.02316384,0.91963569,0.03686881,0.85797184
TCGA.A8.A090.01,0.02785,0.93514665,0.05798146,0.81036302
TCGA.A8.A091.01,0.02531793,0.90557965,0.67762582,0.94654216
TCGA.A8.A092.01,0.02365893,0.95551431,0.06107766,0.88476951
TCGA.A8.A093.01,0.04190278,0.90059378,0.06174469,0.91659531
TCGA.A8.A094.01,0.02126296,0.90476904,0.15550043,0.84700329
TCGA.A8.A095.01,0.020543,0.93154013,0.06932022,0.83563084
TCGA.A8.A096.01,0.02552758,0.91533868,0.07931808,0.86679569
TCGA.A8.A097.01,0.03914209,0.94468338,0.31233382,0.87524745
TCGA.A8.A099.01,0.03706178,0.94491041,0.05072667,0.94642447
TCGA.A8.A09A.01,0.02373045,0.92643087,0.11027843,0.84689504
TCGA.A8.A09B.01,0.02322133,0.93214908,0.03952164,0.85603263
TCGA.A8.A09C.01,0.02091311,0.89948746,0.04581472,0.93879838
TCGA.A8.A09D.01,0.02346685,0.90722476,0.10286438,0.82149675
TCGA.A8.A09G.01,0.02137898,0.94672823,0.03949926,0.80781671
TCGA.A8.A09I.01,0.0172234,0.92119161,0.06900873,0.86616046
TCGA.A8.A09M.01,0.02605839,0.93446197,0.03954636,0.85242293
TCGA.A8.A09N.01,0.02064466,0.89561467,0.03620741,0.88611012
TCGA.A8.A09Q.01,0.03013267,0.92445427,0.04174629,0.88481788
TCGA.A8.A09R.01,0.0332096,0.94395191,0.19006807,0.82178609
TCGA.A8.A09T.01,0.02090892,0.93688645,0.0454832,0.86562826
TCGA.A8.A09V.01,0.02575814,0.93949952,0.16513915,0.90821082
TCGA.A8.A09W.01,0.02773138,0.89580696,0.03703782,0.89219242
TCGA.A8.A09X.01,0.0262556,0.90895261,0.55056428,0.80043637
TCGA.A8.A09Z.01,0.02279769,0.92845795,0.02662879,0.88937586
TCGA.A8.A0A1.01,0.02528011,0.92762765,0.05579523,0.8585666
TCGA.A8.A0A2.01,0.03420472,0.93781899,0.42338066,0.88537827
TCGA.A8.A0A4.01,0.02723973,0.92716839,0.17640126,0.91683978
TCGA.A8.A0A6.01,0.03575441,0.90498772,0.0430775,0.91415915
TCGA.A8.A0A7.01,0.02724174,0.91018504,0.034786,0.73526408
TCGA.A8.A0A9.01,0.02749211,0.92417671,0.07338047,0.9341634
TCGA.A8.A0AB.01,0.02897274,0.95617856,0.12934694,0.95571976
TCGA.A8.A0AD.01,0.02957909,0.92719139,0.02618212,0.88845242
TCGA.AC.A23C.01,0.03214233,0.8931758,0.0980763,0.89032109
TCGA.AC.A23E.01,0.02670284,0.90901905,0.12492603,0.85063599
TCGA.AC.A23G.01,0.03648048,0.88802812,0.06181533,0.82245599
TCGA.AC.A23H.01,0.1701957,0.8986354,0.2260384,0.9452168
TCGA.AC.A2B8.01,0.05856055,0.87631969,0.03409795,0.88395194
TCGA.AC.A2BK.01,0.03242515,0.91182875,0.16300062,0.94164275
TCGA.AC.A2BM.01,0.03472818,0.91856772,0.05696752,0.87925715
TCGA.AC.A2FB.01,0.02879045,0.93823151,0.0990281,0.86743834
TCGA.AC.A2FE.01,0.02716213,0.9268366,0.2277743,0.8721877
TCGA.AC.A2FF.01,0.04351178,0.94646514,0.06655954,0.92701539
TCGA.AC.A2FG.01,0.03132762,0.91594184,0.07064809,0.95023062
TCGA.AC.A2FK.01,0.03014872,0.93624637,0.16969098,0.88636667
TCGA.AC.A2FM.01,0.02761475,0.93351686,0.15538631,0.93888896
TCGA.AC.A2FO.01,0.02946015,0.93903431,0.06552974,0.87247181
TCGA.AC.A2QH.01,0.03503793,0.90751951,0.07501099,0.89670352
TCGA.AC.A2QI.01,0.02342315,0.9455841,0.03537413,0.87679617
TCGA.AC.A2QJ.01,0.02174417,0.94388801,0.03574856,0.42689138
TCGA.AC.A3BB.01,0.02385969,0.92673508,0.02981484,0.84917376
TCGA.AC.A3EH.01,0.02531271,0.93412825,0.11398649,0.93411154
TCGA.AC.A3HN.01,0.02940145,0.88678711,0.21886915,0.82904739
TCGA.AC.A3OD.01,0.03602957,0.86681825,0.10168027,0.85617705
TCGA.AC.A3QP.01,0.02981552,0.93462172,0.06900157,0.86788098
TCGA.AC.A3QQ.01,0.02811428,0.93362634,0.38331258,0.93090434
